
"Data da Carga da Base";"Exercício Financeiro (Lan-Ef)";"Ação (código)";"Ação (nome)";"Plano Orçamentário (código)";"Plano Orçamentário (nome)";"Grupo de Despesa (código)";"Grupo de Despesa (nome)";"Resultado Lei (código)";"Resultado Lei (nome)";"Modalidade de Aplicação (código)";"Modalidade de Aplicação (nome)";"Fonte (código)";"Fonte (nome)";"Valor dotação inicial";"Valor dotação atualizada";"Valor Total Empenhado";"Valor Liquidado";"Valor Pago"
"04/06/22";"2021";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0004";"CONTRIBUICAO AO INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA - IBGC";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"5923,00";"5923,00";"4881,00";"4881,00";"4881,00"
"04/06/22";"2021";"00S6";"BENEFICIO ESPECIAL E DEMAIS COMPLEMENTACOES DE APOSENTADORIA";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"350005,00";"350005,00";"38742,24";"38742,24";"38742,24"
"04/06/22";"2021";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"1699027227,00";"1699027227,00";"1631037330,04";"1631037330,04";"1631028783,59"
"04/06/22";"2021";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"56";"CONTRIB.DO SERV.PARA O PLANO SEG.SOC.SERV.PUB";"146941548,00";"146941548,00";"136041177,80";"136041177,80";"136041177,80"
"04/06/22";"2021";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"69";"CONTR.PATRONAL PARA O PLANO SEG.SOC.SERV.PUB.";"283857088,00";"283857088,00";"276840715,96";"276840715,96";"276840715,96"
"04/06/22";"2021";"0397";"APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"22542816,00";"22542816,00";"20817547,52";"20817547,52";"20817547,52"
"04/06/22";"2021";"09HB";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"0";"FINANCEIRO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"196306177,00";"196846668,00";"193111345,13";"193078218,67";"193078218,67"
"04/06/22";"2021";"0Z00";"RESERVA DE CONTINGENCIA - FINANCEIRA";"0001";"CPSS DECORRENTE DO ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL - FINANCEIRA";"1";"PESSOAL E ENCARGOS SOCIAIS";"0";"FINANCEIRO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"523471,00";"523471,00";"0,00";"0,00";"0,00"
"04/06/22";"2021";"0Z01";"RESERVA DE CONTINGENCIA FISCAL - PRIMARIA";"0001";"RECURSOS PARA ATENDIMENTO DO ART. 169, ? 1., INCISO II DA CONSTITUICAO FEDERAL, ANEXO V DA LOA - PRIMARIA";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"9433794,00";"9433794,00";"0,00";"0,00";"0,00"
"04/06/22";"2021";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"0,00";"32828697,00";"32828697,00";"27683519,33";"27683519,33"
"04/06/22";"2021";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"190580467,00";"187917092,00";"187873929,66";"186812344,15";"186784469,74"
"04/06/22";"2021";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"70";"REC.PROPRIOS PRIMARIOS APLICACAO ESPECIFICA";"3572972,00";"3572972,00";"3084788,05";"3084485,24";"3084485,24"
"04/06/22";"2021";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0001";"ASSISTENCIA MEDICA E ODONTOLOGICA DE CIVIS - COMPLEMENTACAO DA UNIAO";"4";"INVESTIMENTOS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"300000,00";"300000,00";"0,00";"0,00";"0,00"
"04/06/22";"2021";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"0002";"EXAMES PERIODICOS - CIVIS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"380271,00";"50000,00";"0,00";"0,00";"0,00"
"04/06/22";"2021";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"CV19";"CORONAVIRUS (COVID-19)";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"0,00";"140530,00";"140350,00";"0,00";"0,00"
"04/06/22";"2021";"2004";"ASSISTENCIA MEDICA E ODONTOLOGICA AOS SERVIDORES CIVIS, EMPR";"CV19";"CORONAVIRUS (COVID-19)";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"0,00";"2993646,00";"2989072,00";"2795552,80";"2795552,80"
"04/06/22";"2021";"20TP";"ATIVOS CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"1430798798,44";"1430798798,44";"1390114904,19";"1374900319,56";"1374900319,56"
"04/06/22";"2021";"20TP";"ATIVOS CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"96117339,56";"96117339,56";"89863530,97";"89863530,97";"89863530,97"
"04/06/22";"2021";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0001";"ASSISTENCIA PRE-ESCOLAR AOS DEPENDENTES DE SERVIDORES CIVIS E DE EMPREGADOS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"11370680,00";"11370680,00";"10907706,37";"10907706,37";"10907706,37"
"04/06/22";"2021";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0003";"AUXILIO-TRANSPORTE DE CIVIS ATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"767483,00";"667483,00";"219557,17";"219557,17";"219557,17"
"04/06/22";"2021";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0005";"AUXILIO-ALIMENTACAO DE CIVIS ATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"69765439,00";"69865439,00";"69752858,06";"69702858,26";"69702858,26"
"04/06/22";"2021";"212B";"BENEFICIOS OBRIGATORIOS AOS SERVIDORES CIVIS, EMPREGADOS, MI";"0009";"AUXILIO-FUNERAL E NATALIDADE DE CIVIS";"3";"OUTRAS DESPESAS CORRENTES";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"3677668,00";"3677668,00";"3137687,68";"3137687,68";"3137687,68"
"04/06/22";"2021";"216H";"AJUDA DE CUSTO PARA MORADIA OU AUXILIO-MORADIA A AGENTES PUB";" -";" -";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"660000,00";"660000,00";"162405,93";"162405,93";"162405,93"
"04/06/22";"2021";"219I";"PUBLICIDADE INSTITUCIONAL E DE UTILIDADE PUBLICA";" -";" -";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"50000000,00";"50000000,00";"0,00";"0,00";"0,00"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"342458601,39";"309635636,39";"253487100,42";"213683382,15";"213568379,28"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"3794800,00";"291888,00";"11398,06";"11398,06";"11398,06"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"232283,61";"232283,61";"230224,73";"60888,41";"60888,41"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"28294774,00";"23939413,00";"5341002,64";"2591585,84";"2591585,84"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"0,00";"2253224,00";"1205178,63";"1058294,40";"1058197,88"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0001";"ADMINISTRACAO LEGISLATIVA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"63";"REC.PROP.DECOR.ALIEN.BENS E DIR.DO PATR.PUB.";"68000,00";"68000,00";"0,00";"0,00";"0,00"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0004";"GESTAO DO SISTEMA DE INFORMATICA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"40747329,82";"40747329,82";"31452615,67";"25252153,57";"25249882,21"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0004";"GESTAO DO SISTEMA DE INFORMATICA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"0,00";"27665,00";"27664,70";"27664,70";"27664,70"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0004";"GESTAO DO SISTEMA DE INFORMATICA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"69,18";"69,18";"69,18";"69,18";"69,18"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0004";"GESTAO DO SISTEMA DE INFORMATICA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"15904129,00";"15904129,00";"7788845,72";"6636895,19";"6636895,19"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0004";"GESTAO DO SISTEMA DE INFORMATICA";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"0,00";"1005158,00";"967510,66";"849449,53";"849449,53"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0006";"PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"20332821,00";"20332821,00";"14625018,65";"12082894,70";"12082894,70"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0006";"PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"839698,00";"73499,00";"17537,09";"15407,20";"15407,20"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0006";"PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"50000,00";"50000,00";"33989,94";"33989,94";"33989,94"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"0006";"PRODUCAO E DISTRIBUICAO DE DOCUMENTOS LEGISLATIVOS";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"0,00";"78351,00";"22819,00";"22819,00";"22819,00"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000C";"DISSEMINACAO DE CONHECIMENTOS LEGISLATIVOS E GERENCIAIS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"4044696,00";"4044696,00";"813450,58";"726867,81";"726867,81"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000D";"MODERNIZACAO E ADEQUACAO DA ACESSIBILIDADE NO COMPLEXO ARQUITETONICO";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"2496321,00";"2496321,00";"1799004,04";"1603667,43";"1603667,43"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000D";"MODERNIZACAO E ADEQUACAO DA ACESSIBILIDADE NO COMPLEXO ARQUITETONICO";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"0,00";"3151000,00";"0,00";"0,00";"0,00"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000E";"FUNCIONAMENTO DA INSTITUICAO FISCAL INDEPENDENTE (IFI)";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"58230,00";"58230,00";"14763,60";"14763,60";"14763,60"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000F";"COMUNICACAO E DIVULGACAO INSTITUCIONAL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"56029106,82";"56029106,82";"45356250,20";"39647994,02";"39642506,44"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000F";"COMUNICACAO E DIVULGACAO INSTITUCIONAL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"911897,18";"911897,18";"393724,31";"357608,58";"357608,58"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000F";"COMUNICACAO E DIVULGACAO INSTITUCIONAL";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"444500,00";"1648861,00";"1466100,00";"248673,26";"248673,26"
"04/06/22";"2021";"4061";"PROCESSO LEGISLATIVO, FISCALIZACAO E REPRESENTACAO POLITICA";"000F";"COMUNICACAO E DIVULGACAO INSTITUCIONAL";"4";"INVESTIMENTOS";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"50";"REC.PROPRIOS PRIMARIOS DE LIVRE APLICACAO";"0,00";"904713,00";"340457,00";"340457,00";"340457,00"
"04/06/22";"2021";"4236";"APRECIACAO E JULGAMENTO DE CAUSAS";"0001";"JULGAMENTO DE PROCESSOS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"552992,30";"552992,30";"552992,30";"552992,30";"552992,30"
"04/06/22";"2020";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0001";"CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO - ASPG";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"4749,00";"4749,00";"0,00";"0,00";"0,00"
"04/06/22";"2020";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0002";"CONTRIBUICAO A FEDERACAO INTERNACIONAL DAS ASSOCIACOES E INSTITUICOES BIBLIOTECARIAS - IFLA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"3363,00";"3363,00";"3319,03";"3319,03";"3319,03"
"04/06/22";"2020";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0004";"CONTRIBUICAO AO PARLAMERICAS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"109375,00";"107875,00";"99862,96";"99862,96";"99862,96"
"04/06/22";"2020";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"0005";"CONTRIBUICAO AO CONSELHO INTERNACIONAL DE ARQUIVOS - ICA";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"1255,00";"2755,00";"1906,83";"1906,83";"1906,83"
"04/06/22";"2020";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"000S";"CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"190704,00";"190704,00";"159158,88";"159158,88";"159158,88"
"04/06/22";"2020";"00OQ";"CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P";"000T";"CONTRIBUICAO A UNIAO INTERPARLAMENTAR";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"80";"TRANSFERENCIAS AO EXTERIOR";"00";"RECURSOS ORDINARIOS";"990232,00";"990232,00";"884787,23";"884787,23";"884787,23"
"04/06/22";"2020";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0001";"CONTRIBUICAO A ASSOCIACAO BRASILEIRA DAS ESCOLAS DO LEGISLATIVO E DE CONTAS - ABEL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"10800,00";"10800,00";"9000,00";"9000,00";"9000,00"
"04/06/22";"2020";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0002";"CONTRIBUICAO A UNIAO NACIONAL DAS INSTITUICOES DE AUTOGESTAO EM SAUDE - UNIDAS";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"64844,00";"64686,00";"62620,68";"62620,68";"62620,68"
"04/06/22";"2020";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0003";"CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVAS - ASTRAL";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"16800,00";"16800,00";"14000,00";"14000,00";"14000,00"
"04/06/22";"2020";"00PW";"CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM";"0004";"CONTRIBUICAO AO INSTITUTO BRASILEIRO DE GOVERNANCA CORPORATIVA - IBGC";"3";"OUTRAS DESPESAS CORRENTES";"2";"PRIMARIO DISCRICIONARIO";"50";"TRANSFERENCIA INSTITUICOES PRIVADAS SEM FINS LUCRATIVOS";"00";"RECURSOS ORDINARIOS";"4580,00";"4738,00";"4738,00";"4738,00";"4738,00"
"04/06/22";"2020";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"1776389639,00";"1776389639,00";"1728203852,08";"1728008927,74";"1728008927,74"
"04/06/22";"2020";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"56";"CONTRIB.DO SERV.PARA O PLANO SEG.SOC.SERV.PUB";"139493368,00";"139493368,00";"137279763,81";"137279763,81";"137279763,81"
"04/06/22";"2020";"0181";"APOSENTADORIAS E PENSOES CIVIS DA UNIAO";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"69";"CONTR.PATRONAL PARA O PLANO SEG.SOC.SERV.PUB.";"219913761,00";"219913761,00";"217279170,94";"217279170,94";"217279170,94"
"04/06/22";"2020";"0397";"APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"51";"RECURSOS LIVRES DA SEGURIDADE SOCIAL";"22676851,00";"22676851,00";"22170162,59";"22170162,59";"22170162,59"
"04/06/22";"2020";"09HB";"CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"0";"FINANCEIRO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"148580079,00";"186548138,00";"184548495,58";"184548495,58";"184548495,58"
"04/06/22";"2020";"0Z00";"RESERVA DE CONTINGENCIA - FINANCEIRA";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"0";"FINANCEIRO";"91";"APLICACOES DIRETAS - OPERACOES INTERNAS";"00";"RECURSOS ORDINARIOS";"389686,00";"389686,00";"0,00";"0,00";"0,00"
"04/06/22";"2020";"0Z01";"RESERVA DE CONTINGENCIA FISCAL - PRIMARIA";" -";" -";"1";"PESSOAL E ENCARGOS SOCIAIS";"1";"PRIMARIO OBRIGATORIO";"90";"APLICACOES DIRETAS";"00";"RECURSOS ORDINARIOS";"8995177,00";"8995177,00";"0,00";"0,00";"0,00"
